arm,instance,run_id,model,batch_id,turn_idx,cmd_idx,tool,command,output_chars,output_tokens_approx,returncode,is_error,qi_pure,qi_results,qi_miss_kind,qi_limit,qi_limit_per_file,qi_toc,qi_expand,qi_include,qi_exclude,qi_within,qi_and,qi_def,qi_usage,qi_raw,qi_parent,qi_file,qi_type,qi_modifier,qi_scope,qi_verbose,qi_dotted_name,qi_quoted_phrase,qi_abs_path
swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,claude-haiku-4-5-20251001,pro_pilot_qutebrowser_haiku_v1,2,0,grep,"find /app -type f -name ""*.py"" | grep -E ""(log|qtlog)"" | head -20",320,80,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,claude-haiku-4-5-20251001,pro_pilot_qutebrowser_haiku_v1,4,0,read,cat /app/qutebrowser/utils/log.py,10613,2653,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,claude-haiku-4-5-20251001,pro_pilot_qutebrowser_haiku_v1,6,0,read,cat /app/qutebrowser/utils/qtlog.py,8593,2148,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,claude-haiku-4-5-20251001,pro_pilot_qutebrowser_haiku_v1,8,0,grep,"grep -n ""hide_qt_warning\|QtWarningFilter"" /app/tests/unit/utils/test_qtlog.py | head -30",221,55,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,claude-haiku-4-5-20251001,pro_pilot_qutebrowser_haiku_v1,10,0,read,"sed -n '50,100p' /app/tests/unit/utils/test_qtlog.py",1276,319,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,claude-haiku-4-5-20251001,pro_pilot_qutebrowser_haiku_v1,12,0,read,"sed -n '100,150p' /app/tests/unit/utils/test_qtlog.py",45,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,claude-haiku-4-5-20251001,pro_pilot_qutebrowser_haiku_v1,14,0,grep,"grep -n ""hide_qt_warning\|QtWarningFilter"" /app/qutebrowser/utils/log.py",211,53,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,claude-haiku-4-5-20251001,pro_pilot_qutebrowser_haiku_v1,16,0,read,"sed -n '363,430p' /app/qutebrowser/utils/log.py",2365,591,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,claude-haiku-4-5-20251001,pro_pilot_qutebrowser_haiku_v1,18,0,grep,"head -40 /app/qutebrowser/utils/log.py | grep -E ""^import|^from""",323,81,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_qutebrowser__qutebrowser-f91ace96223cac8161c16dd061907e138fe85111-v059c6fdc75567943479b23ebca7c07b5e9a7f34c,rep01,claude-haiku-4-5-20251001,pro_pilot_qutebrowser_haiku_v1,20,0,grep,"head -30 /app/qutebrowser/utils/qtlog.py | grep -E ""^import|^from""",249,62,0,0,0,,,,,,,,,,,,,,,,,,,,,,
