arm,instance,run_id,model,batch_id,turn_idx,cmd_idx,tool,command,output_chars,output_tokens_approx,returncode,is_error,qi_pure,qi_results,qi_miss_kind,qi_limit,qi_limit_per_file,qi_toc,qi_expand,qi_include,qi_exclude,qi_within,qi_and,qi_def,qi_usage,qi_raw,qi_parent,qi_file,qi_type,qi_modifier,qi_scope,qi_verbose,qi_dotted_name,qi_quoted_phrase,qi_abs_path
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,2,0,read,"find /app -type f -name ""*.go"" | head -30",0,0,,,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,4,0,read,"find /app -type f -name ""*.go"" | head -30",718,180,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,6,0,other,"find /app -type f -path ""*/models/packages.go""",69,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,8,0,read,cat /app/models/packages.go,7122,1780,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,10,0,read,cat /app/scan/base.go | head -100,2178,544,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,12,0,read,cat /app/scan/base.go | wc -l,49,12,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,14,0,grep,"grep -n ""ListenPort\|AffectedProcess\|osPackages"" /app/scan/base.go | head -30",60,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,16,0,grep,"grep -n ""type osPackages"" /app/scan/base.go -A 20",45,11,1,1,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,18,0,grep,"grep -r ""type osPackages"" /app",93,23,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,20,0,read,cat /app/scan/serverapi.go,10612,2653,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,22,0,grep,"find /app -type f -name ""*test.go"" | xargs grep -l ""ListenPort\|PortScan"" | head -5",68,17,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,24,0,read,cat /app/scan/base_test.go,10612,2653,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,26,0,grep,"grep -n ""detectScanDest\|Test_base_detectScanDest"" /app/scan/base_test.go -A 30 | head -60",1973,493,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,28,0,read,"sed -n '280,365p' /app/scan/base_test.go",2712,678,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,30,0,grep,"grep -n ""type ListenPort\|type AffectedProcess"" /app/models/packages.go",79,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,32,0,read,"sed -n '176,185p' /app/models/packages.go",401,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,
swebp_control,instance_future-architect__vuls-83bcca6e669ba2e4102f26c4a2b52f78c7861f1a,rep01,claude-haiku-4-5-20251001,pro_pilot_vuls2_haiku,34,0,read,"cat > /tmp/patch_models.txt << 'EOF'
// ListenPort represents a structured endpoint with address, port, and successful reachability results
type ListenPort struct {
	Address           string   `json:""address""`
	Port              string   `json:""port""`
	PortScanSuccessOn []string `json:""portScanSuccessOn""`
}
EOF
cat /tmp/patch_models.txt",317,79,0,0,0,,,,,,,,,,,,,,,,,,,,,,
